Total Execution Time(s);Logged Events;Total Used Memory(GB);Total Connected Fog Devices;Total Connected Network Devices;Total Cloud DataCenters;Total network Usage(MB);Total All Power Consumed(Watt);Total Power Consumed by Cloud(Watt);Total Cost of Cloud Services;Total Power Consumed by Edge Device(Watt);Total Cost of Edge Devices;Loop Delay Average - [VIDEOFRAME, video_motion_detector, car_deep_detector, post-processing, user_interface]
21.0;1041904;0.43126392364501953;60;43;1;10562.5625;37486675.28003155326;5797828.183364077;2538309.3521405384;37486675.28003155326;2538309.3521405384;222.36284600688964
18.0;1042738;0.32298851013183594;60;43;1;10575.333333333334;37477875.61106722762;5798467.866639807;2539936.1863324028;37477875.61106722762;2539936.1863324028;222.4585631100883
16.0;1042292;-0.20386505126953125;60;43;1;10568.445833333333;37486277.83170709758;5800009.2584002325;2544483.1894208738;37486277.83170709758;2544483.1894208738;222.4257718339023
16.0;1042418;0.041774749755859375;60;43;1;10571.404166666667;37475249.50397873399;5797311.031318333;2537214.275877208;37475249.50397873399;2537214.275877208;222.24912840856703
16.0;1041648;0.015187263488769531;60;43;1;10561.970833333333;37485315.22004404657;5799278.616703167;2542078.305537538;37485315.22004404657;2542078.305537538;222.3030409987486
16.0;1042124;-0.15621280670166016;60;43;1;10566.279166666667;37487250.46515387774;5799424.573882797;2542391.5684772893;37487250.46515387774;2542391.5684772893;222.2376096655487
17.0;1042610;0.12929344177246094;60;43;1;10569.691666666668;37482943.68159384267;5799505.6679918235;2542612.348061519;37482943.68159384267;2542612.348061519;222.5303281209612
17.0;1042092;0.056446075439453125;60;43;1;10564.154166666667;37485576.12773174854;5797387.756616466;2537309.3156934255;37485576.12773174854;2537309.3156934255;222.30202973794812
16.0;1042010;0.6195697784423828;60;43;1;10562.9625;37449574.62832508377;5799376.764867619;2542242.2326551364;37449574.62832508377;2542242.2326551364;222.38372716923556
15.0;1042594;-0.33870506286621094;60;43;1;10572.779166666667;37471450.26083872237;5797985.711030605;2538914.860147395;37471450.26083872237;2538914.860147395;222.29609168527864
16.0;1042872;0.029732704162597656;60;43;1;10572.983333333334;37473438.05406006871;5795883.865385397;2533423.9482081053;37473438.05406006871;2533423.9482081053;222.48547248789413
16.0;1042410;4.7969818115234375E-4;60;43;1;10566.625;37458107.70176281868;5799405.22417216;2542397.203059832;37458107.70176281868;2542397.203059832;222.28241068560337
17.0;1041842;-0.5609779357910156;60;43;1;10562.608333333334;37475716.97104313897;5800429.95101203;2544962.6563501107;37475716.97104313897;2544962.6563501107;222.20680038797437
16.0;1042252;0.4257011413574219;60;43;1;10569.933333333332;37465369.95852881611;5799795.35830391;2543339.093284317;37465369.95852881611;2543339.093284317;222.22428128897107
16.0;1042560;-0.36071300506591797;60;43;1;10571.291666666666;37481696.36815707794;5797166.628578354;2536665.540190539;37481696.36815707794;2536665.540190539;222.5604248814995
17.0;1042520;0.01768016815185547;60;43;1;10569.933333333332;37477204.78469313458;5797542.441469512;2537679.9372061356;37477204.78469313458;2537679.9372061356;222.7427845528606
16.0;1041554;0.4683208465576172;60;43;1;10559.633333333333;37471494.67859884060;5800224.665582392;2544436.9772792268;37471494.67859884060;2544436.9772792268;222.527796400662
18.0;1041886;-0.3601226806640625;60;43;1;10563.741666666667;37459114.41839214854;5799376.76968881;2542233.262173673;37459114.41839214854;2542233.262173673;222.146663663929
17.0;1041926;0.008774757385253906;60;43;1;10564.266666666666;37458290.89449683148;5800688.1357138865;2545565.350354272;37458290.89449683148;2545565.350354272;222.44719880811076
18.0;1041830;0.4858064651489258;60;43;1;10564.675;37475573.30640328849;5799615.847593976;2542937.606116346;37475573.30640328849;2542937.606116346;222.36452916739074
17.0;1043094;-0.3097267150878906;60;43;1;10577.7375;37485912.34319573676;5797771.925369977;2538162.4944830425;37485912.34319573676;2538162.4944830425;222.19930605600345
16.0;1041438;0.542017936706543;60;43;1;10558.529166666667;37464370.00598235930;5797428.664694702;2537395.336126181;37464370.00598235930;2537395.336126181;222.26140873556795
19.0;1042568;-0.3685798645019531;60;43;1;10573.1375;37477822.72610705066;5800611.346337918;2545400.476459063;37477822.72610705066;2545400.476459063;222.26466479871604
27.0;1042388;0.4534873962402344;60;43;1;10569.570833333333;37475387.70319990908;5799054.850556451;2541552.722079079;37475387.70319990908;2541552.722079079;222.3163643980469
33.0;1041932;-0.42299556732177734;60;43;1;10561.95;37471187.45327564130;5797534.4470188655;2537782.110899595;37471187.45327564130;2537782.110899595;222.66485513249492
41.0;1042706;-0.5825233459472656;60;43;1;10576.608333333334;37469086.51927128232;5799816.110850249;2543340.3871653504;37469086.51927128232;2543340.3871653504;222.2945782230685
33.0;1042032;0.4598836898803711;60;43;1;10566.620833333332;37460223.91555956515;5799085.962243412;2541508.3698933697;37460223.91555956515;2541508.3698933697;222.28082095166755
24.0;1042834;0.4646921157836914;60;43;1;10574.991666666667;37474037.43984831261;5798995.311040634;2541268.3174886573;37474037.43984831261;2541268.3174886573;222.388451499078
16.0;1042336;-0.7531881332397461;60;43;1;10569.0625;37478912.07752248814;5798802.568363965;2540862.169419757;37478912.07752248814;2540862.169419757;222.35676406806118
20.0;1042688;0.4912300109863281;60;43;1;10572.879166666668;37466442.47423988146;5800066.847478413;2543970.5917090857;37466442.47423988146;2543970.5917090857;222.48491543533066
