Total Execution Time(s);Logged Events;Total Used Memory(GB);Total Connected Fog Devices;Total Connected Network Devices;Total Cloud DataCenters;Total network Usage(MB);Total All Power Consumed(Watt);Total Power Consumed by Cloud(Watt);Total Cost of Cloud Services;Total Power Consumed by Edge Device(Watt);Total Cost of Edge Devices;Loop Delay Average - [VIDEOFRAME, video_motion_detector, car_deep_detector, post-processing, user_interface]
21.0;220668;0.3383626937866211;60;43;1;89.73333333333333;37319631.79334504439;4884248.638912917;308077.97930193786;37319631.79334504439;308077.97930193786;269.67166057813745
17.0;220660;0.10583782196044922;60;43;1;89.0375;37310644.60709167291;4877260.899121157;231355.64579163498;37310644.60709167291;231355.64579163498;273.6538592450605
17.0;221106;-0.08840370178222656;60;43;1;96.70833333333333;37352444.97888255716;4922234.202380617;340918.0974681425;37352444.97888255716;340918.0974681425;270.9254272523548
16.0;221040;0.05389118194580078;60;43;1;95.75;37335360.15875271438;4910638.593844106;301693.48928963766;37335360.15875271438;301693.48928963766;273.432847068584
17.0;220814;-0.043712615966796875;60;43;1;91.3;37317914.85998285441;4898016.767571878;269946.595647869;37317914.85998285441;269946.595647869;275.48645148363624
17.0;220914;0.13431167602539062;60;43;1;93.825;37354645.64021776016;4913534.272643556;301539.6300596466;37354645.64021776016;301539.6300596466;272.42608651285786
18.0;221154;0.15722179412841797;60;43;1;97.4125;37313537.95241288766;4890829.411577585;246558.36027514644;37313537.95241288766;246558.36027514644;279.2569208633428
21.0;220842;-0.26849842071533203;60;43;1;91.225;37346794.23181886358;4899891.351875972;268978.9356889894;37346794.23181886358;268978.9356889894;279.2967496545599
18.0;220934;-0.06775569915771484;60;43;1;92.35416666666667;37340565.81618877396;4916464.112452876;312073.98685104307;37340565.81618877396;312073.98685104307;277.4290761903997
18.0;220590;0.5807981491088867;60;43;1;86.96666666666667;37318710.19677082212;4891138.606555741;257999.35933486058;37318710.19677082212;257999.35933486058;277.11476883556423
18.0;220758;-0.34366607666015625;60;43;1;91.84166666666667;37332149.89779541620;4910569.413499633;314401.63896454487;37332149.89779541620;314401.63896454487;279.97981132878704
17.0;220740;-0.057918548583984375;60;43;1;90.90416666666667;37317500.81863407114;4895213.504841564;267225.1771885138;37317500.81863407114;267225.1771885138;273.74409770668393
17.0;220928;0.03876304626464844;60;43;1;93.4375;37337772.03259644794;4923826.493806368;333266.00583595433;37337772.03259644794;333266.00583595433;275.8528135329816
14.0;221002;0.4531993865966797;60;43;1;94.98333333333333;37308787.95042668526;4884163.00613877;236950.76098375308;37308787.95042668526;236950.76098375308;270.4895712059279
16.0;221092;-0.30284595489501953;60;43;1;96.24583333333334;37361535.42536666234;4923275.4283204265;334427.2980754226;37361535.42536666234;334427.2980754226;271.0665341522504
18.0;221000;0.09948348999023438;60;43;1;94.45833333333333;37318864.97771962215;4877782.179740537;219794.44522846484;37318864.97771962215;219794.44522846484;274.69616668922095
16.0;221064;-0.12900733947753906;60;43;1;96.35416666666667;37331415.89409347080;4912539.728601862;311119.6543977623;37331415.89409347080;311119.6543977623;273.58149409667305
17.0;221000;-0.20728206634521484;60;43;1;94.86666666666666;37332137.35213970536;4914339.095326609;333503.54275153234;37332137.35213970536;333503.54275153234;274.1027342645683
19.0;221044;-0.06067085266113281;60;43;1;95.99583333333334;37322448.60664615097;4878410.113821106;250912.94933942484;37322448.60664615097;250912.94933942484;276.75401793949544
17.0;220618;0.4196968078613281;60;43;1;87.55416666666666;37339516.55119300547;4904889.566980462;295323.3030260698;37339516.55119300547;295323.3030260698;274.64486679410015
19.0;220998;-0.33764171600341797;60;43;1;94.50833333333334;37331293.74363161784;4890273.023440514;269358.2671471622;37331293.74363161784;269358.2671471622;276.71976923408045
18.0;220892;0.29389286041259766;60;43;1;92.87083333333334;37320018.22815943779;4885807.755754825;233972.76125935352;37320018.22815943779;233972.76125935352;278.6224227047928
17.0;220908;-0.39693164825439453;60;43;1;94.42083333333333;37366440.15348063847;4915127.287630369;323397.10574840254;37366440.15348063847;323397.10574840254;271.57195267499867
16.0;221336;0.3131999969482422;60;43;1;100.2375;37313153.65378389285;4889690.7212234065;284199.68438106397;37313153.65378389285;284199.68438106397;270.87261212877763
18.0;220986;-0.25676441192626953;60;43;1;95.2625;37315337.09944792407;4896273.961232995;268336.81244044914;37315337.09944792407;268336.81244044914;275.4773908090492
18.0;220744;0.3190784454345703;60;43;1;89.56666666666666;37316736.86927477995;4892149.273428392;326024.07618247106;37316736.86927477995;326024.07618247106;276.26300462633424
17.0;220678;-0.26815128326416016;60;43;1;88.62916666666666;37308614.78233840207;4875817.282946918;259625.2377378776;37308614.78233840207;259625.2377378776;276.0159592405434
18.0;220986;0.3258523941040039;60;43;1;93.77916666666667;37335375.18893846053;4913101.081805204;332164.6083236831;37335375.18893846053;332164.6083236831;278.0936830923638
16.0;220472;0.41028785705566406;60;43;1;84.29583333333333;37342395.61384390183;4911391.566612682;307620.1508763283;37342395.61384390183;307620.1508763283;275.1742317347423
19.0;221046;-0.6439743041992188;60;43;1;95.3375;37308547.05246486109;4886042.95704861;250345.51864461688;37308547.05246486109;250345.51864461688;273.62455316052524
