Total Execution Time(s);Logged Events;Total Used Memory(GB);Total Connected Fog Devices;Total Connected Network Devices;Total Cloud DataCenters;Total network Usage(MB);Total All Power Consumed(Watt);Total Power Consumed by Cloud(Watt);Total Cost of Cloud Services;Total Power Consumed by Edge Device(Watt);Total Cost of Edge Devices;Loop Delay Average - [VIDEOFRAME, video_motion_detector, car_deep_detector, post-processing, user_interface]
27.0;221040;0.3680124282836914;60;43;1;96.23333333333333;37365913.54800454832;4928942.637337838;175371.1157076913;37365913.54800454832;175371.1157076913;277.9374346709563
21.0;221168;-0.014222145080566406;60;43;1;97.69583333333334;37350261.34932470982;4933367.26736804;179004.54610579915;37350261.34932470982;179004.54610579915;273.58149407037524
17.0;221038;0.20616626739501953;60;43;1;95.5375;37358399.55603545537;4921557.082017535;171620.30342682754;37358399.55603545537;171620.30342682754;273.05408842393894
19.0;220632;0.03819751739501953;60;43;1;87.72083333333333;37379148.79294675059;4945054.211612589;188271.34188416082;37379148.79294675059;188271.34188416082;275.76949940071694
22.0;220602;-0.12765979766845703;60;43;1;87.7125;37579374.45283832592;5136946.567869787;440609.1271141365;37579374.45283832592;440609.1271141365;279.1620755959946
19.0;220652;-0.09102058410644531;60;43;1;87.92916666666666;37374646.63441213870;4947196.324758122;191839.40534233977;37374646.63441213870;191839.40534233977;274.1546386416834
18.0;221020;-0.043079376220703125;60;43;1;96.225;37397786.35487516152;4986686.416748412;239146.3503264066;37397786.35487516152;239146.3503264066;274.1184168296337
18.0;221160;0.07248210906982422;60;43;1;97.53333333333333;37432190.39341457600;5005794.568979703;272003.6395887958;37432190.39341457600;272003.6395887958;277.55370724168705
17.0;220794;0.4198751449584961;60;43;1;90.6625;37343874.98139830865;4919658.65461645;159556.31969423225;37343874.98139830865;159556.31969423225;275.150560298584
17.0;220916;-0.3724546432495117;60;43;1;93.05833333333334;37363189.50062362351;4946707.962553576;190094.59481124952;37363189.50062362351;190094.59481124952;273.5060582518594
18.0;220568;0.1566476821899414;60;43;1;88.47083333333333;37381888.78349744478;4952753.927120899;199655.96242570426;37381888.78349744478;199655.96242570426;277.2592121330978
21.0;221328;-0.28878307342529297;60;43;1;100.9625;37355770.28519726027;4941762.251939603;208237.82257517293;37355770.28519726027;208237.82257517293;274.12716337780483
17.0;220840;0.5959081649780273;60;43;1;91.75833333333334;37384189.26606892582;4941014.004301271;186275.09246548318;37384189.26606892582;186275.09246548318;275.3457294744661
21.0;220816;-0.4173727035522461;60;43;1;90.96666666666667;37391943.93264342469;4946487.505261085;194212.2153230409;37391943.93264342469;194212.2153230409;276.0424783347066
16.0;220698;0.5169439315795898;60;43;1;88.64166666666667;37366952.71590559661;4944894.446257149;191477.86673129152;37366952.71590559661;191477.86673129152;272.0699718802185
18.0;221090;-0.6652727127075195;60;43;1;96.60833333333333;37359074.98559004156;4927684.966296716;173969.8060536672;37359074.98559004156;173969.8060536672;273.48820932292216
17.0;220928;0.03636741638183594;60;43;1;94.00416666666666;37356402.65558971322;4932640.584258517;193501.8619406689;37356402.65558971322;193501.8619406689;272.81242575586555
16.0;220954;0.47898006439208984;60;43;1;93.05;37376954.02998147486;4944623.0822340455;203535.47995418665;37376954.02998147486;203535.47995418665;273.0927391818731
19.0;221094;-0.28632354736328125;60;43;1;94.98333333333333;37370436.22977770543;4932230.815005865;201684.6090585646;37370436.22977770543;201684.6090585646;274.6862278127529
16.0;221234;0.4831867218017578;60;43;1;98.39583333333333;37376027.44918069033;4949255.23054669;192051.951408055;37376027.44918069033;192051.951408055;274.96910701700074
18.0;220904;-0.6436824798583984;60;43;1;93.87083333333334;37381960.17730797394;4946489.240924131;196993.642542726;37381960.17730797394;196993.642542726;274.76113508004056
18.0;220998;0.36642932891845703;60;43;1;93.49583333333334;37711583.15774796238;5280750.465404822;608045.3575882047;37711583.15774796238;608045.3575882047;281.0731452027874
16.0;220908;-0.35248851776123047;60;43;1;93.15;37357911.73363030705;4940180.779290847;182021.57153225684;37357911.73363030705;182021.57153225684;273.9494154267116
17.0;220770;0.29753875732421875;60;43;1;91.30833333333334;37344582.91607256382;4925904.969509672;177218.2436989785;37344582.91607256382;177218.2436989785;275.0631925897909
17.0;221152;-0.21707725524902344;60;43;1;98.95416666666667;37474548.76542119666;5041117.9258735925;319937.75742474245;37474548.76542119666;319937.75742474245;276.68565830917316
14.0;220910;0.36978626251220703;60;43;1;93.975;37359271.62299215573;4926180.075887526;176410.3414077256;37359271.62299215573;176410.3414077256;268.7432287761561
17.0;220950;-0.2060232162475586;60;43;1;94.35;37383113.89754333153;4944099.00609068;185598.19950104813;37383113.89754333153;185598.19950104813;273.49330745853916
17.0;220928;0.3802051544189453;60;43;1;93.44166666666666;37403411.61358448364;4967057.128574996;217147.75186723837;37403411.61358448364;217147.75186723837;275.16514060813375
19.0;221166;-0.6952552795410156;60;43;1;97.83333333333333;37348072.92273567223;4931686.310704191;193937.7061257033;37348072.92273567223;193937.7061257033;274.83205923364164
17.0;220712;0.37641334533691406;60;43;1;89.62916666666666;37710580.50476237113;5266105.860533969;638187.8370728386;37710580.50476237113;638187.8370728386;275.91085667821835
